AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LATITUDE,LON_DEGREES,LONGITUDE
1385601,13856,OKO,Yokota AB,"Tokyo, Japan",Japan,JP,,,,32169,"Tokyo, Japan",736,35,35.74527778,139,139.35166667
1385602,13856,OKO,Yokota AB,"Tokyo, Japan",Japan,JP,,,,32169,"Tokyo, Japan",736,35,35.74861111,139,139.34861111
1385701,13857,OKR,Yorke Island Airport,"Yorke Island, Australia",Australia,AU,,,,33857,"Yorke Island, Australia",802,9,-9.73333333,143,143.41666667
1385702,13857,OKR,Yorke Island Airport,"Yorke Island, Australia",Australia,AU,,,,33857,"Yorke Island, Australia",802,9,-9.75333333,143,143.40500000
1385801,13858,OKY,Oakey Airport,"Oakey, Australia",Australia,AU,,,,33858,"Oakey, Australia",802,27,-27.40666667,151,151.73500000
1385802,13858,OKY,Oakey Airport,"Oakey, Australia",Australia,AU,,,,33858,"Oakey, Australia",802,27,-27.41138889,151,151.73527778
1385803,13858,OKY,Oakey Airport,"Oakey, Australia",Australia,AU,,,,33858,"Oakey, Australia",802,27,-27.40694444,151,151.73555556
1385901,13859,OLA,Orland Airport,"Orland, Norway",Norway,NO,,,,33859,"Orland, Norway",465,63,63.70055556,9,9.60472222
1385902,13859,OLA,Orland Airport,"Orland, Norway",Norway,NO,,,,33859,"Orland, Norway",465,63,63.69888889,9,9.60388889
1385903,13859,OLA,Orland Airport,"Orland, Norway",Norway,NO,,,,33859,"Orland, Norway",465,63,63.70000000,9,9.60277778
1386001,13860,OLB,Costa Smeralda,"Olbia, Italy",Italy,IT,,,,33860,"Olbia, Italy",450,40,40.89722222,9,9.52222222
1386002,13860,OLB,Olbia Costa Smeralda,"Olbia, Italy",Italy,IT,,,,33860,"Olbia, Italy",450,40,40.89861111,9,9.51750000
1386003,13860,OLB,Olbia Costa Smeralda,"Olbia, Italy",Italy,IT,,,,33860,"Olbia, Italy",450,40,40.89944444,9,9.51916667
1386101,13861,OLE,Olean Municipal,"Olean, NY",United States,US,New York,NY,36,33861,"Olean, NY",22,42,42.24083333,78,-78.37666667
1386102,13861,OLE,Cattaraugus County-Olean,"Olean, NY",United States,US,New York,NY,36,33861,"Olean, NY",22,42,42.24138889,78,-78.37138889
1386103,13861,OLE,Cattaraugus County-Olean,"Olean, NY",United States,US,New York,NY,36,33861,"Olean, NY",22,42,42.24111111,78,-78.37138889
1386104,13861,OLE,Cattaraugus County-Olean,"Olean, NY",United States,US,New York,NY,36,33861,"Olean, NY",22,42,42.24138889,78,-78.37138889
1386105,13861,OLE,Cattaraugus County-Olean,"Olean, NY",United States,US,New York,NY,36,33861,"Olean, NY",22,42,42.24111111,78,-78.37138889
1386201,13862,OLF,Wolf Point International,"Wolf Point, MT",United States,US,Montana,MT,30,33862,"Wolf Point, MT",84,48,48.09472222,105,-105.56638889
1386202,13862,OLF,L. M. Clayton,"Wolf Point, MT",United States,US,Montana,MT,30,33862,"Wolf Point, MT",84,48,48.09444444,105,-105.57500000
1386301,13863,OLH,Old Harbor Airport,"Old Harbor, AK",United States,US,Alaska,AK,02,33863,"Old Harbor, AK",1,57,57.20611111,153,-153.29944444
1386302,13863,OLH,Old Harbor Airport,"Old Harbor, AK",United States,US,Alaska,AK,02,33863,"Old Harbor, AK",1,57,57.21805556,153,-153.26972222
1386303,13863,OLH,Old Harbor Airport,"Old Harbor, AK",United States,US,Alaska,AK,02,33863,"Old Harbor, AK",1,57,57.21833333,153,-153.26916667
1386304,13863,OLH,Old Harbor Airport,"Old Harbor, AK",United States,US,Alaska,AK,02,33863,"Old Harbor, AK",1,57,57.21833333,153,-153.26972222
1386305,13863,OLH,Old Harbor Airport,"Old Harbor, AK",United States,US,Alaska,AK,02,33863,"Old Harbor, AK",1,57,57.21805556,153,-153.26972222
1386306,13863,OLH,Old Harbor Airport,"Old Harbor, AK",United States,US,Alaska,AK,02,33863,"Old Harbor, AK",1,57,57.21833333,153,-153.26972222
1386401,13864,OLI,Rif,"Olafsvik, Iceland",Iceland,IS,,,,33864,"Olafsvik, Iceland",439,64,64.91333333,23,-23.80000000
1386402,13864,OLI,Rif,"Olafsvik, Iceland",Iceland,IS,,,,33864,"Olafsvik, Iceland",439,64,64.91138889,23,-23.82305556
1386403,13864,OLI,Rif,"Olafsvik, Iceland",Iceland,IS,,,,33864,"Olafsvik, Iceland",439,64,64.91138889,23,-23.81805556
1386404,13864,OLI,Rif,"Olafsvik, Iceland",Iceland,IS,,,,33864,"Olafsvik, Iceland",439,64,64.91138889,23,-23.82305556
